Title,Salutation,Surname,First Name,Other Names,Preferred Name,Initials,Telephone,Fax,Electorate,State,Political Party,Gender,Honorific,ElectorateAddressLine1,ElectorateAddressLine2,ElectorateSuburb,ElectorateState,ElectoratePostCode,ElectorateTelephone,LabelAddress,LabelSuburb,LabelState,LabelPostCode,Parliamentary Title
Senator,Senator,Hanson-Young,Sarah,Coral,Sarah,S.C.,(02) 6277 3430,(02) 6277 5819,,SA,AG,FEMALE,,"Level 7, 147  Pirie Street",,Adelaide,SA,5000,(08) 8227 0425,"Level 7, 147  Pirie Street",Adelaide,SA,5000,
Senator,Senator,Hughes,Hollie,Alexandra,Hollie,H.A.,(02) 6277 3610,,,NSW,LP,FEMALE,,"Commonwealth Parliament Offices, Level 21 Suite 9",1 Bligh Street,Sydney,NSW,2000,(02) 8289 9880,GPO Box 36,Sydney,NSW,2000,
Senator the Hon,Senator,Hume,Jane,,Jane,J.,(02) 6277 3123,(02) 6277 5782,,VIC,LP,FEMALE,,223 Bridge Road,,Richmond,VIC,3121,(03) 9428 1773,PO Box 224,Richmond,VIC,3121,"Assistant Minister for Superannuation, Financial Services and Financial Technology"
Senator the Hon,Senator,Keneally,Kristina,Kerscher,Kristina,K.K.,(02) 6277 3512,,,NSW,ALP,FEMALE,,Suite 503 Level 5,56 Station Street,Parramatta,NSW,2150,(02) 9891 9139,PO Box W4,Parramatta Westfield,NSW,2150,Deputy Leader of the Opposition in the Senate
Senator,Senator,Kitching,Kimberley,,Kimberley,K.,(02) 6277 3294,(02) 6277 5814,,VIC,ALP,FEMALE,,Tenancy 3,6 English Street,Essendon Fields,VIC,3041,(03) 9374 1640,"Tenancy 3, 6 English Street",Essendon Fields,VIC,3041,
Senator,Senator,Lambie,Jacqui,,Jacqui,J.,(02) 6277 3614,,,TAS,JLN,FEMALE,,Shop 4,22 Mount Street,Burnie,TAS,7320,(03) 6431 3112,PO Box 256,Burnie,TAS,7320,
Senator,Senator,Lines,Susan,,Sue,S.,(02) 6277 3804,,,WA,ALP,FEMALE,,51 Ord Street,,West Perth,WA,6005,(08) 9481 4844,PO Box 1322,West Perth,WA,6872,"Deputy President, Chair of Committees"
Senator,Senator,McAllister,Jennifer,Ryll,Jenny,J.R.,(02) 6277 3443,(02) 6277 5781,,NSW,ALP,FEMALE,,Suite 1,1 Park Avenue,Drummoyne,NSW,2047,(02) 9719 8100,"Suite 1, 1 Park Avenue",Drummoyne,NSW,2047,
Senator,Senator,McCarthy,Malarndirri,,Malarndirri,M.,(02) 6277 3094,(02) 6277 5756,,NT,ALP,FEMALE,,38B Mitchell Street,,Darwin,NT,800,(08) 8941 0003,PO Box 1596,Darwin,NT,801,Deputy Opposition Whip in the Senate
Senator,Senator,McDonald,Susan,Eileen,Susan,S.M.,(02) 6277 3635,,,QLD,Nats,FEMALE,,"Level 1, 131 Denham Street",,Townsville,QLD,4810,(07) 4771 3066,"Level 1, 131 Denham Street",Townsville,QLD,4810,
Senator the Hon,Senator,McGrath,James,,James,J.,(02) 6277 3076,(02) 6277 5948,,QLD,LP,MALE,,Tenancy A,2-4 Mitchell Street,Nambour,QLD,4560,(07) 5441 1800,PO Box 772,Nambour,QLD,4560,Deputy Government Whip in the Senate
Senator the Hon,Senator,McKenzie,Bridget,,Bridget,B.,(02) 6277 7190,,,VIC,Nats,FEMALE,,172 High Street,,Wodonga,VIC,3690,(02) 6024 2560,172 High Street,Wodonga,VIC,3690,"Minister for Agriculture, Leader of The Nationals in the Senate"
Senator,Senator,McKim,Nicholas,James,Nick,N.J.,(02) 6277 3601,(02) 6277 5797,,TAS,AG,MALE,,149B Macquarie Street,,Hobart,TAS,7000,(03) 6224 8899,GPO Box 896,Hobart,TAS,7001,
Senator,Senator,McMahon,Samantha,Jane,Sam,S.J.,(02) 6277 3643,,,NT,CLP,FEMALE,,"1, 229 McMillans Road",,Jingili,NT,810,(08) 8948 3555,"1, 229 McMillans Road",Jingili,NT,810,
Senator,Senator,O'Neill,Deborah,,Deborah,D.,(02) 6277 3882,(02) 6277 5880,,NSW,ALP,FEMALE,,"Suite 3.12, The Platinum Building",4 Ilya Avenue,Erina,NSW,2250,(02) 4367 4565,"Suite 3.12, The Platinum Building, 4 Ilya Avenue",Erina,NSW,2250,
Senator,Senator,O'Sullivan,Matthew,Anthony,Matt,M.A.,(02) 6277 3653,,,WA,LP,MALE,,Unit 4 and 5,162 Colin Street,West Perth,WA,6005,(08) 9226 5387,PO Box 6,West Perth,WA,6872,
Senator,Senator,Paterson,James,,James,J.,(02) 6277 3719,,,VIC,LP,MALE,,"Ground floor, 63 York Street",,South Melbourne,VIC,3205,(03) 9690 2201,"Ground floor, 63 York Street",South Melbourne,VIC,3205,
Senator,Senator,Patrick,Rex,Lyall,Rex,R.L.,(02) 6277 3785,,,SA,CA,MALE,,Level 2,31 Ebenezer Place,Adelaide,SA,5000,(08) 8232 1144,"Level 2, 31 Ebenezer Place",Adelaide,SA,5000,
Senator the Hon,Senator,Payne,Marise,Ann,Marise,M. A.,(02) 6277 7500,(02) 6273 3662,,NSW,LP,FEMALE,,2-12 Macquarie Street,,Parramatta,NSW,2150,(02) 9687 8755,PO Box 1420,Parramatta,NSW,2150,"Minister for Foreign Affairs, Minister for Women"
Senator,Senator,Polley,Helen,,Helen,H.,(02) 6277 3129,(02) 6277 5753,,TAS,ALP,FEMALE,,"'The Charles', Suite 101",287 Charles Street,Launceston,Tas,7250,(03) 6331 2599,PO Box 1223,Launceston,Tas,7250,
Senator,Senator,Pratt,Louise,Clare,Louise,L.C.,(02) 6277 3189,(02) 6277 5806,,WA,ALP,FEMALE,,183 Great Eastern Highway,,Belmont,WA,6104,(08) 9277 1502,PO Box 531,Belmont,WA,6984,
Senator,Senator,Rennick,Gerard,,Gerard,G.,(02) 6277 3666,,,QLD,LP,MALE,,"421 Brunswick Street,",,Fortitude Valley,QLD,4006,(07) 3252 7101,PO Box 907 Fortitude Valley Post Shop,Fortitude Valley,QLD,4006,
Senator the Hon,Senator,Reynolds,Linda,Karen,Linda,L.K.,(02) 6277 7800,,,WA,LP,FEMALE,CSC,"Suite C, 117 Great Eastern Highway",,Rivervale,WA,6103,(08) 9477 5411,PO Box 369,Belmont,WA,6984,Minister for Defence
Senator,Senator,Rice,Janet,Elizabeth,Janet,J.E.,(02) 6277 3225,(02) 6277 5717,,VIC,AG,FEMALE,,Shops 2-3,26 Lygon Street,Brunswick East,VIC,3057,(03) 9381 1446,"Shops 2-3, 26 Lygon Street",Brunswick East,VIC,3057,
Senator,Senator,Roberts,Malcolm,Ieuan,Malcolm,M.I.,(02) 6277 3694,,,QLD,PHON,MALE,,"Commonwealth Parliament Offices Suite 2, Level 36 Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3221 9099,PO Box 228,Brisbane,QLD,4001,
Senator the Hon,Senator,Ruston,Anne,,Anne,A.,(02) 6277 7560,,,SA,LP,FEMALE,,9 Renmark Avenue,,Renmark,SA,5341,(08) 8586 6600,PO Box 1671,Renmark,SA,5341,"Minister for Families and Social Services, Manager of Government Business in the Senate"
Senator the Hon,Senator,Ryan,Scott,Michael,Scott,S.M.,(02) 6277 3300,,,VIC,LP,MALE,,12 Pascoe Vale Road,,Moonee Ponds,VIC,3039,(03) 9326 1088,PO Box 556,Moonee Ponds,VIC,3039,President of the Senate
Senator,Senator,Scarr,Paul,Martin,Paul,P.M.,(02) 6277 3712,,,QLD,LP,MALE,,Commonwealth Parliament Office Level 25 Waterfront Place,1 Eagle Street,Brisbane,QLD,4000,(07) 3211 7240,GPO Box 228,Brisbane,QLD,4001,
Senator the Hon,Senator,Seselja,Zdenko,Matthew,Zed,Z. M.,(02) 6277 3187,(02) 6277 5712,,ACT,LP,MALE,,Shop 1,25 Ernest Cavanagh Street,Gungahlin,ACT,2912,(02) 6247 6444,PO Box 705,Gungahlin,ACT,2912,"Assistant Minister for Finance, Charities and Electoral Matters"
Senator,Senator,Sheldon,Anthony,Vincent,Tony,A.V.,(02) 6277 3736,,,NSW,ALP,MALE,,Suite 405 Henry Lawson Building,19 Roseby Street,Drummoyne,NSW,2047,(02) 9719 1078,"Suite 405 Henry Lawson Building, 19 Roseby Street",Drummoyne,NSW,1470,
Senator,Senator,Siewert,Rachel,,Rachel,R.,(02) 6277 3587,(02) 6277 5762,,WA,AG,FEMALE,,"Unit 11, Level 2",440 William Street,Perth,WA,6000,(08) 9228 3277,"Unit 11, Level 2, 440 William Street",Perth,WA,6000,Australian Greens Whip
Senator the Hon,Senator,Sinodinos,Arthur,,Arthur,A,(02) 6277 3661,,,NSW,LP,MALE,AO,Suite 3  Level 20,1 Bligh Street,Sydney,NSW,2000,(02) 8289 9450,"Suite 3  Level 20, 1 Bligh Street",Sydney,NSW,2000,
Senator,Senator,Smith,Dean,Anthony,Dean,D. A.,(02) 6277 3404,(02) 6277 3403,,WA,LP,MALE,,48 Ventnor Avenue,,West Perth,WA,6005,08 9481 0349,PO Box 930,West Perth,WA,6872,Chief Government Whip in the Senate
Senator,Senator,Smith,Marielle,Feuerherdt,Marielle,M.F.,(02) 6277 3744,,,SA,ALP,FEMALE,,Commonwealth Parliament Offices,"Suite 6, Level 13, 100 King William Street",Adelaide,SA,5000,(08) 8205 1050,"Commonwealth Parliament Offices, Suite 6, Level 13, 100 King William Street",Adelaide,SA,5000,
Senator,Senator,Steele-John,Jordon,Alexander,Jordon,J.A.,(02) 6277 3646,,,WA,AG,MALE,,Level 40 Exchange Tower,2 the Esplanade,Perth,WA,6000,(08) 6245 3310,GPO Box B58,Perth,WA,6838,
Senator,Senator,Sterle,Glenn,,Glenn,G.,(02) 6277 3615,(02) 6277 5765,,WA,ALP,MALE,,6a Market City,280 Bannister Road,Canning Vale,WA,6155,(08) 9455 1420,"Mailpoint 22, Market City, 280 Bannister Road",Canning Vale,WA,6155,
Senator,Senator,Stoker,Amanda,Jane,Amanda,A.J.,(02) 6277 3457,,,QLD,LP,FEMALE,,"Suite 7, Level 36, Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3001 8170,GPO Box 228,Brisbane,QLD,4001,
Senator,Senator,Urquhart,Anne,Elizabeth,Anne,A. E.,(02) 6277 3434,,,TAS,ALP,FEMALE,,Ground Floor,69 Best Street,Devonport,Tas,7310,(03) 6423 1933,PO Box 360,Devonport,Tas,7310,Opposition Whip in the Senate
Senator,Senator,Van,David,Allan,David,D.A.,(02) 6277 3760,,,VIC,LP,MALE,,"Commonwealth Parliamentary Offices, Level 4, Suite 4.1",4 Treasury Place,East Melbourne,VIC,3002,(03) 9660 6660,"Commonwealth Parliamentary Offices, Level 4, Suite 4.1, 4 Treasury Place",East Melbourne,VIC,3002,
Senator,Senator,Walsh,Jess,Cecille,Jess,J.C.,(02) 6277 3777,,,VIC,ALP,FEMALE,,"Commonwealth Parliamentary Offices Level 4, Suite 4.6",4 Treasury Place,East Melbourne,VIC,3002,(03) 9232 8860,"Commonwealth Parliamentary Offices Level 4, Suite 4.6, 4 Treasury Place",East Melbourne,VIC,3002,
Senator,Senator,Waters,Larissa,Joy,Larissa,L. J.,(02) 6277 3684,,,QLD,AG,FEMALE,,Level 1,251 Given Terrace,Paddington,Qld,4064,(07) 3367 0566,Locked bag 3004,Paddington,Qld,4064,
Senator,Senator,Watt,Murray,Patrick,Murray,M.P.,(02) 6277 3046,(02) 6277 5716,,QLD,ALP,MALE,,Suite G04 Kay House,35 Scarborough Street,Southport,QLD,4215,(07) 5531 1033,PO Box 310,Southport Business Centre,QLD,4215,
Senator,Senator,Whish-Wilson,Peter,Stuart,Peter,P. S.,(02) 6277 3721,(02) 6277 5793,,TAS,AG,MALE,,37 George Street,,Launceston,TAS,7250,(03) 6331 0033,PO Box 5194,Launceston,TAS,7250,
Senator the Hon,Senator,Wong,Penny,,Penny,P.,(02) 6277 3874,(02) 6273 5879,,SA,ALP,FEMALE,,Level 4,19 Gouger Street,Adelaide,SA,5000,(08) 8212 8272,"PO Box 6237, Halifax Street",Adelaide,SA,5000,Leader of the Opposition in the Senate
